video_id,title,description,published_at,position,view_count,like_count,comment_count,comments_disabled,duration_iso,duration_sec,definition,caption,licensed,tags,category_id,audio_language,live_status,year,age_days,is_live,is_short,duration_min,engagement_rate,comment_rate,views_per_day
ULkIofk1YIs,Andrea Bocelli - Romanza 30th Anniversary [Official Trailer],"To celebrate the 30th anniversary of Romanza, a special new edition is coming.

The collection brings together all 16 original tracks, never-before-seen photographs from the recording sessions and a previously unreleased extended version of “Con te partirò.”
 
Order Now: https://andreabocelli.lnk.to/Romanza30th

Follow Andrea Bocelli: 
Instagram: https://www.instagram.com/andreabocelliofficial
Facebook: https://www.facebook.com/andreabocelli/YouTube
YouTube: https://www.youtube.com/channel/UCb4JB8-ZAeceuR7EPCPOPzg
TikTok:  https://www.tiktok.com/@andreabocelliof?lang=en
X: https://x.com/AndreaBocelliWebsite
Website: https://www.andreabocelli.com/

#AndreaBocelli",2026-07-29 13:30:12+00:00,0,29331,1303,62,False,PT30S,30,hd,false,False,Andrea Bocelli|Andrea Bocelli live,10,en-GB,none,2026,41,False,True,0.5,0.04442398827179435,0.0021138045071767073,715.390243902439
oVur8cdIFEI,Andrea Bocelli - Romanza 30th Anniversary [Official Trailer],"Celebrate the most extraordinary classical vocalist of all time and the 30th anniversary of his breathtaking masterpiece, ""Romanza"", with a deluxe 2LP coffee table book, standard 2LP vinyl, and CD version.
 
Order Now: https://andreabocelli.lnk.to/Romanza30th


Follow Andrea Bocelli: 
Instagram: https://www.instagram.com/andreabocelliofficial
Facebook: https://www.facebook.com/andreabocelli/YouTube
YouTube: https://www.youtube.com/channel/UCb4JB8-ZAeceuR7EPCPOPzg
TikTok:  https://www.tiktok.com/@andreabocelliof?lang=en
X: https://x.com/AndreaBocelli
Website: https://www.andreabocelli.com/

#AndreaBocelli",2026-07-29 07:16:15+00:00,1,19358,1560,116,False,PT30S,30,hd,false,False,Andrea Bocelli|Andrea Bocelli live,10,en-GB,none,2026,42,False,True,0.5,0.08058683748321108,0.005992354582084926,460.9047619047619
y6CgWkUNR2U,Fall On Me (Spanish Version / From The Nutcracker And The Four Realms),"Music video by Andrea Bocelli, Matteo Bocelli performing Fall On Me (Spanish Version / From The Nutcracker And The Four Realms).© 2018 Sugar s.r.l., under exclusive license to Decca Records, a division of Universal Music Operations Limited",2026-06-24 23:18:22+00:00,2,60282,2376,156,False,PT4M25S,265,hd,true,True,Andrea Bocelli|Matteo Bocelli|Decca/Sugar|Classical Crossover,10,en,none,2026,76,False,False,4.416666666666667,0.039414750671842344,0.002587837165322982,793.1842105263158
gZY6F6w4CRs,Andrea Bocelli - Nessun Dorma [Live in Ciudad de México],"Andrea Bocelli delivers a breathtaking live performance of “Nessun Dorma” in Ciudad de México, bringing Puccini’s legendary aria to life with power, grace, and unmistakable emotion.

April 18th 2026, Zócalo, Ciudad de México

Follow Andrea Bocelli: 
Instagram: https://www.instagram.com/andreabocelliofficial
Facebook: https://www.facebook.com/andreabocelli/YouTube
YouTube: https://www.youtube.com/channel/UCb4JB8-ZAeceuR7EPCPOPzg
TikTok:  https://www.tiktok.com/@andreabocelliof?lang=en
X: https://x.com/AndreaBocelliWebsite
Website: https://www.andreabocelli.com/

#AndreaBocelli",2026-04-20 08:21:54+00:00,3,155638,6169,382,False,PT2M36S,156,hd,false,False,Andrea Bocelli|Andrea Bocelli live|Nessun Dorma|Ciudad de México|Mexico City|live performance|opera live|Puccini|classical music|tenor|Turandot|opera aria|Bocelli live|Italian opera|classical crossover|live concert,10,en-GB,none,2026,141,False,False,2.6,0.03963684961256248,0.0024544134465875945,1103.8156028368794
Z2gjydO5Xv8,"Fall On Me (From Disney's ""The Nutcracker And The Four Realms"" / French Version / Backstage Video)","Music video by Andrea Bocelli, Matteo Bocelli performing Fall On Me (From Disney's ""The Nutcracker And The Four Realms"" / French Version / Backstage Video).© 2018 Sugar s.r.l., under exclusive licence to Universal Music Operations Ltd",2026-03-24 16:34:20+00:00,4,34441,1046,77,False,PT3M7S,187,hd,false,True,Andrea Bocelli|Matteo Bocelli|Decca/Sugar|Classical Crossover,10,en,none,2026,168,False,False,3.1166666666666667,0.03037077901338521,0.002235707441711913,205.00595238095238
E2L3Pmj1jU8,"Fall On Me (From Disney's ""The Nutcracker And The Four Realms"" / Russian Version / Backstage Video)","Music video by Andrea Bocelli, Matteo Bocelli performing Fall On Me (From Disney's ""The Nutcracker And The Four Realms"" / Russian Version / Backstage Video).© 2018 Sugar s.r.l., under exclusive licence to Universal Music Operations Ltd",2026-03-24 16:29:52+00:00,5,7326,442,47,False,PT2M11S,131,hd,false,True,Andrea Bocelli|Matteo Bocelli|Decca/Sugar|Classical Crossover,10,en,none,2026,168,False,False,2.183333333333333,0.06033306033306033,0.006415506415506415,43.607142857142854
1ni2n8vH4uo,Experience Andrea Bocelli Like Never Before - Full VR Behind the Scenes of 30: The Celebration,"Filmed at the Teatro del Silenzio (Theatre of Silence) in Lajatico over three nights in 2024 and marking his 30th year as an artist, this once-in-a-lifetime event sees classical star Andrea Bocelli appear in his home of Tuscany with a star-studded lineup of special guests to perform songs that have been the pillars of his career. This 2-disc package features two shows – “The Celebration” and “30 Years of Musical Inspiration” and over 4 and a half hours of performances. 
 
With incredible staging including a stunning sundial centrepiece in the middle of a lake, and 500 drones which lift into the sky in three breathtakingly special moments, Bocelli is joined by an 80-piece orchestra, a cast of over 200 musicians and family and friends including Ed Sheeran, Jon Batiste, Shania Twain, Brian May and more. It’s a night that transforms both the landscape and beautiful Tuscan sky into something totally spectacular. The result: a mesmerising and truly unforgettable concert.  
 
Order now: https://mercury-studios.lnk.to/AndreaBocelliTheCelebration

For more information:
Andrea Bocelli 30: The Celebration
https://www.fathomevents.com/andrea-bocelli-30-the-celebration/

Mercury Studios
www.Mercurystudios.co

Andrea Bocelli
https://www.andreabocelli.com

Follow Andrea Bocelli: 
Instagram: https://www.instagram.com/andreabocelliofficial
Facebook: https://www.facebook.com/andreabocelli/YouTube
YouTube: https://www.youtube.com/channel/UCb4JB8-ZAeceuR7EPCPOPzg
TikTok:  https://www.tiktok.com/@andreabocelliof?lang=en
X: https://x.com/AndreaBocelliWebsite
Website: https://www.andreabocelli.com/

#AndreaBocelli

#andreabocelli #andreabocellilive",2026-03-03 17:00:03+00:00,6,128411,1573,119,False,PT10M38S,638,hd,false,False,Andrea Bocelli|Andrea Bocelli live|andrea bocelli concert film|Karol G|vivo por ella|vivo por ella karol g,10,en-GB,none,2026,189,False,False,10.633333333333333,0.012249729384554283,0.0009267118860533755,679.4232804232804
FJXQDpzEdsU,"SEASON OF CHAMPIONS playlist, listen now on Spotify: andreabocelli.lnk.to/seasonofchampions",,2026-02-05 11:43:43+00:00,7,36471,1097,68,False,PT30S,30,hd,false,False,,10,en-GB,none,2026,215,False,True,0.5,0.03007869265992158,0.0018644950782813743,169.6325581395349
3atXLJAfOss,Andrea Bocelli’s Magical Christmas,"Experience the warmth, wonder, and elegance of the holiday season with A Festive Christmas with Andrea Bocelli. In this special celebration, Andrea’s timeless voice brings new life to beloved Christmas classics—filled with emotion, beauty, and the spirit of togetherness.

Video Produced by @MercuryStudios 

Follow Andrea Bocelli: 
Instagram: https://www.instagram.com/andreabocelliofficial
Facebook: https://www.facebook.com/andreabocelli/YouTube
YouTube: https://www.youtube.com/channel/UCb4JB8-ZAeceuR7EPCPOPzg
TikTok:  https://www.tiktok.com/@andreabocelliof?lang=en
X: https://x.com/AndreaBocelliWebsite
Website: https://www.andreabocelli.com/

#AndreaBocelli

#AndreaBocelli",2025-12-04 16:00:04+00:00,8,1223990,24718,979,False,PT26M10S,1570,hd,false,False,Andrea Bocelli|Andrea Bocelli collaboration|Andrea Bocelli biggest performance|Andrea Bocelli live|Andrea Bocelli 2025|Andrea Bocelli A Night at the Movies|Andrea Bocelli movie songs|Andrea Bocelli concert|Andrea Bocelli cinema classics|Andrea Bocelli performance|Andrea Bocelli greatest hits|Andrea Bocelli movie night|Andrea Bocelli singing live|Andrea Bocelli cinematic music|Andrea Bocelli concert special|Andrea Bocelli timeless voice,10,en-GB,none,2025,278,False,False,26.166666666666668,0.020194609433083602,0.0007998431359733331,4402.841726618705
N0VfOKs_-h8,"Andrea Bocelli, Kari Jobe & Cody Carnes - The Blessing (Official Video)","Andrea Bocelli, Kari Jobe & Cody Carnes - 'The Blessing' 
Listen here: https://andreabocelli.lnk.to/theblessingID

Maestro Andrea Bocelli teams up with the award-winning contemporary Christian music singers, Kari Jobe (@KariJobeMusic) and Cody Carnes (@CodyCarnes) for a brand new version of the uplifting GRAMMY nominated track, ‘The Blessing’, released by Decca / Capitol Christian Music Group.

‘The Blessing’, spreading a powerful message of hope, peace and divine protection, became a viral hit and worldwide success for the husband and wife duo, Jobe and Carnes, when originally released in 2020. Within its first months over 100 churches and virtual choirs around the world recorded their own multilingual versions of the track, turning it into a global movement. Since then, the original has garnered over half a billion global streams and over 600 million social views and counting, winning awards and multiple nominations along the way. 

Today’s stirring collaboration, with Andrea Bocelli’s emotive voice, complete with Italian lyrics, offers a profound sense of unity and support. 

M° ANDREA BOCELLI MANAGEMENT TEAM 
Veronica Bocelli & Francesco Pasquero 
Project Manager: Sara Formicola 
P.A.: Valentina Pianezzi 
Web & Coordation: Massimiliano Ballanti 
Info: info@andreabocelli.com

Follow Maestro Andrea Bocelli: 
Instagram: https://instagram.com/andreabocelliofficial 
Facebook:  https://www.facebook.com/andreabocelli
TikTok:  https://www.tiktok.com/@andreabocelliof
X: https://x.com/AndreaBocelli 
Website: https://www.andreabocelli.com

#andreabocelli #KariJobe #CodyCarnes #theblessing",2025-11-27 15:00:07+00:00,9,533269,13854,634,False,PT5M40S,340,hd,false,False,Andrea Bocelli|Andrea Bocelli live,10,en-GB,none,2025,285,False,False,5.666666666666667,0.02597938376316643,0.0011888934102676136,1871.1192982456141
